Year,estimated population(June),growth rate p(%),ElectricityUsed(MW),growth rate e(%)
2000,4704065,1.109,92731651,0.000
2001,4763615,1.266,94058916,1.431
2002,4817774,1.137,95021325,1.023
2003,4873809,1.163,97422079,2.527
2004,4927149,1.094,99162072,1.786
2005,4989246,1.260,99336354,0.176
2006,5061266,1.444,102418606,3.103
2007,5153522,1.823,103668555,1.220
2008,5256375,1.996,104639913,0.937
2009,5371934,2.198,102610778,-1.939
2010,5461101,1.660,102367680,-0.237
2011,5537817,1.405,100283720,-2.036
2012,5651091,2.045,99386953,-0.894
2013,5772669,2.151,96566229,-2.838
2014,5894917,2.118,93283665,-3.399
2015,6022322,2.161,91008916,-2.439
2016,6173172,2.505,89295153,-1.883
2017,6321606,2.405,86835829,-2.754
2018,6462019,2.221,86731754,-0.120
2019,6596880,2.087,86095804,-0.733
2020,6696670,1.513,83710045,-2.771
