Year,volume_ML,growth rate of volume used(%)
1971,95141376.0,0.0
1972,86885324.0,-8.678
1973,84521203.0,-2.721
1974,119960328.0,41.929
1975,142502908.0,18.792
1976,157215716.0,10.325
1977,188912283.0,20.161
1978,192754598.0,2.034
1979,204791152.0,6.244
1980,182226955.0,-11.018
1981,199971795.0,9.738
1982,176923703.0,-11.526
1983,142258200.0,-19.593
1984,220678150.0,55.125
1985,277123515.0,25.578
1986,373068763.0,34.622
1987,448285678.0,20.162
1988,450046566.0,0.393
1989,495507334.0,10.101
1990,562080108.0,13.435
1991,583726065.0,3.851
1992,591996753.0,1.417
1993,574521435.0,-2.952
1994,556268301.0,-3.177
1995,547959747.0,-1.494
1996,594609539.0,8.513
1997,535802788.0,-9.89
1998,418674242.0,-21.86
1999,398661163.0,-4.78
2000,361818698.0,-9.242
2001,360044324.0,-0.49
2002,356644904.0,-0.944
2003,315858382.0,-11.436
2004,356475656.0,12.859
2005,376327614.0,5.569
2006,320940170.0,-14.718
2007,236766651.0,-26.227
2008,224653900.0,-5.116
2009,207825292.0,-7.491
2010,262083249.0,26.107
2011,382067630.0,45.781
2012,476171283.0,24.63
2013,500781061.0,5.168
2014,506958943.0,1.234
2015,474359556.0,-6.43
2016,432701291.0,-8.782
2017,439496672.0,1.57
2018,412721283.0,-6.092
2019,376717279.0,-8.724
2020,66584953.0,-82.325
